code,current,name,name_short,name_tv,gender,function,country_code,country,country_long,nationality,nationality_long,nationality_code,height,weight,disciplines,events,birth_date,birth_place,birth_country,residence_place,residence_country
1878415,TRUE,STENBERG Anita,STENBERG A,Anita STENBERG,Female,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,0,0,['Cycling Track'],"[""Women's Omnium""]",1992-08-28,DRAMMEN,Norway,MALLORCA,Spain
1878416,TRUE,TUXEN Helle,TUXEN H,Helle TUXEN,Female,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,0,0,['Diving'],"[""Women's 3m Springboard""]",2001-09-04,STAVANGER,Norway,,Norway
1878418,TRUE,FREESE Isabel,FREESE I,Isabel FREESE,Female,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,0,0,['Equestrian'],['Dressage Individual'],1979-01-19,OSLO,Norway,MUHLEN,Germany
1878420,TRUE,GULLIKSEN Victoria,GULLIKSEN V,Victoria GULLIKSEN,Female,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,0,0,['Equestrian'],['Jumping Individual'],1992-02-23,,,KNOKKE,Belgium
1878424,TRUE,STAVNAR Madelene,STAVNAR M,Madelene STAVNAR,Female,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,163,0,['Golf'],"[""Women's Individual Stroke Play""]",2000-12-09,TONSBERG,Norway,,
1878425,TRUE,BORGE Celine,BORGE C,Celine BORGE,Female,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,167,0,['Golf'],"[""Women's Individual Stroke Play""]",1998-08-05,TONSBERG,Norway,TOLVSROD,Norway
1878428,TRUE,HOVLAND Viktor,HOVLAND V,Viktor HOVLAND,Male,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,179,0,['Golf'],"[""Men's Individual Stroke Play""]",1997-09-18,OSLO,Norway,"STILLWATER, OK",United States
1878430,TRUE,BJOERNSEN Kristian,BJOERNSEN K,Kristian BJOERNSEN,Male,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,191,0,['Handball'],['Men'],1989-01-10,STAVANGER,Norway,AALBORG,Denmark
1878437,TRUE,BARTHOLD Sebastian Hein,BARTHOLD SH,Sebastian Hein BARTHOLD,Male,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,185,0,['Handball'],['Men'],1991-08-27,OSLO,Norway,AALBORG,Denmark
1878439,TRUE,LYSE Simen Ulstad,LYSE SU,Simen Ulstad LYSE,Male,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,195,0,['Handball'],['Men'],2000-02-01,TRONDHEIM,Norway,KOLSTAD,Norway
1878442,TRUE,BERGERUD Torbjoern Sittru,BERGERUD TS,Torbjoern Sittrup BERGERUD,Male,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,200,0,['Handball'],['Men'],1994-07-16,DRAMMEN,Norway,TRONDHEIM,Norway
1878443,TRUE,OEVERBY Petter,OEVERBY P,Petter OEVERBY,Male,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,200,0,['Handball'],['Men'],1992-03-26,KONGSVINGER,Norway,KIEL,Germany
1878450,TRUE,REINKIND Harald,REINKIND H,Harald REINKIND,Male,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,197,0,['Handball'],['Men'],1992-08-17,TONSBERG,Norway,KIEL,Germany
1878453,TRUE,GROENDAHL Tobias Schjoelberg,GROENDAHL TS,Tobias Schjoelberg GROENDAHL,Male,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,184,0,['Handball'],['Men'],2001-01-22,BAERUM,Norway,ELVERUM,Norway
1878454,TRUE,SAEVERAAS Kristian Skinstad,SAEVERAAS K,Kristian Skinstad SAEVERAAS,Male,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,195,0,['Handball'],['Men'],1996-06-22,OSLO,Norway,LEIPZIG,Germany
1878456,TRUE,GULLERUD Magnus,GULLERUD M,Magnus GULLERUD,Male,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,194,0,['Handball'],['Men'],1991-11-13,KONGSVINGER,Norway,KOLSTAD,Norway
1878461,TRUE,SAGOSEN Sander,SAGOSEN S,Sander SAGOSEN,Male,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,195,0,['Handball'],['Men'],1995-09-14,TRONDHEIM,Norway,TRONDHEIM,Norway
1878464,TRUE,AGA Vetle Eck,AGA VE,Vetle Eck AGA,Male,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,190,0,['Handball'],['Men'],1993-10-04,BODO,Norway,KOLSTAD,Norway
1878465,TRUE,BLONZ Alexandre Christoffersen,BLONZ AC,Alexandre Christoffersen BLONZ,Male,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,189,0,['Handball'],['Men'],2000-04-17,CLAMART,France,GUDME,Denmark
